"k";"m";"nword";"count1";"count2";"count3";"clock span"
120;1000000;6622;12000001;76558;1000512;800
120;1000000;6622;12000000;76433;1000513;800
120;1000000;6622;12000001;76542;1000514;802
120;1000000;6622;12000001;76419;1000515;800
120;1000000;6622;12000000;76414;1000516;801
120;1000000;6622;12000001;76293;1000517;802
120;1000000;6622;12000001;76498;1000518;799
120;1000000;6622;12000000;76379;1000519;801
120;1000000;6622;12000001;76374;1000520;798
130;1000000;6622;12000001;76257;1000521;858
130;1000000;6622;12000000;76358;1000522;855
130;1000000;6622;12000001;76243;1000523;857
130;1000000;6622;12000001;76238;1000524;858
130;1000000;6622;12000000;76125;1000525;855
130;1000000;6622;12000001;76450;1000526;858
130;1000000;6622;12000001;76339;1000527;855
130;1000000;6622;12000000;76334;1000528;858
130;1000000;6622;12000001;76225;1000529;858
130;1000000;6622;12000001;76318;1000530;856
140;1000000;6622;12000000;76211;1000531;921
140;1000000;6622;12000001;76206;1000532;921
140;1000000;6622;12000001;76101;1000533;921
140;1000000;6622;12000001;76274;1000534;920
140;1000000;6622;12000001;76171;1000535;927
140;1000000;6622;12000001;76166;1000536;930
140;1000000;6622;12000001;76065;1000537;933
140;1000000;6622;12000000;76150;1000538;935
140;1000000;6622;12000001;76051;1000539;935
140;1000000;6622;12000001;76046;1000540;936
150;1000000;6622;12000000;75949;1000541;984
150;1000000;6622;12000001;76242;1000542;985
150;1000000;6622;12000001;76147;1000543;994
150;1000000;6622;12000000;76142;1000544;999
150;1000000;6622;12000001;76049;1000545;987
150;1000000;6622;12000001;76126;1000546;990
150;1000000;6622;12000001;76035;1000547;988
150;1000000;6622;12000001;76030;1000548;996
150;1000000;6622;12000001;75941;1000549;989
150;1000000;6622;12000001;76082;1000550;988
160;1000000;6622;12000000;75995;1000551;1040
160;1000000;6622;12000001;75990;1000552;1038
160;1000000;6622;12000001;75905;1000553;1043
160;1000000;6622;12000000;75974;1000554;1042
160;1000000;6622;12000001;75891;1000555;1043
160;1000000;6622;12000001;75886;1000556;1042
160;1000000;6622;12000000;75805;1000557;1042
160;1000000;6622;12000001;75962;1000558;1043
160;1000000;6622;12000001;75883;1000559;1042
160;1000000;6622;12000001;75878;1000560;1041
170;1000000;6622;12000001;75801;1000561;1089
170;1000000;6622;12000001;75862;1000562;1077
170;1000000;6622;12000001;75787;1000563;1077
170;1000000;6622;12000000;75782;1000564;1075
170;1000000;6622;12000001;75709;1000565;1075
170;1000000;6622;12000001;75850;1000566;1075
170;1000000;6622;12000000;75779;1000567;1076
170;1000000;6622;12000001;75774;1000568;1075
170;1000000;6622;12000001;75705;1000569;1076
