date;input;n;k;m;i;count1;count2;count3;count;usr;sys;time
2015-12-29 10:38:03.507217790+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;1000;16;1387071;16574;2686;1406331;0.02;0;0.03
2015-12-29 10:38:03.545436157+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;1000;17;1387071;16574;2686;1406331;0.02;0;0.03
2015-12-29 10:38:03.583558190+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;1000;18;1387071;16574;2686;1406331;0.02;0;0.02
2015-12-29 10:38:03.621612002+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;1000;19;1387071;16574;2686;1406331;0.02;0;0.03
2015-12-29 10:38:03.659811616+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;1000;20;1387071;16574;2686;1406331;0.02;0;0.03
2015-12-29 10:38:03.698669441+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;10000;1;1387071;165595;25498;1578164;0.03;0;0.03
2015-12-29 10:38:03.742944895+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;10000;2;1387071;165595;25498;1578164;0.03;0;0.03
2015-12-29 10:38:03.788720266+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;10000;3;1387071;165595;25498;1578164;0.03;0;0.03
2015-12-29 10:38:03.832464758+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;10000;4;1387071;165595;25498;1578164;0.03;0;0.03
2015-12-29 10:38:03.877704526+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;10000;5;1387071;165595;25498;1578164;0.03;0;0.03
2015-12-29 10:38:03.921797002+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;10000;6;1387071;165595;25498;1578164;0.03;0;0.03
2015-12-29 10:38:03.965585034+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;10000;7;1387071;165595;25498;1578164;0.03;0;0.03
2015-12-29 10:38:04.009344221+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;10000;8;1387071;165488;25030;1577589;0.02;0;0.03
2015-12-29 10:38:04.053653793+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;10000;9;1387071;165488;25030;1577589;0.03;0;0.03
2015-12-29 10:38:04.097581920+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;10000;10;1387071;165488;25030;1577589;0.03;0;0.03
2015-12-29 10:38:04.142350636+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;10000;11;1387071;165488;25030;1577589;0.03;0;0.03
2015-12-29 10:38:04.187028728+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;10000;12;1387071;165488;25030;1577589;0.03;0;0.03
2015-12-29 10:38:04.230661025+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;10000;13;1387071;165488;25030;1577589;0.03;0;0.03
2015-12-29 10:38:04.275921552+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;10000;14;1387071;165488;25030;1577589;0.03;0;0.03
2015-12-29 10:38:04.319689217+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;10000;15;1387071;165488;25030;1577589;0.04;0;0.04
2015-12-29 10:38:04.377686871+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;10000;16;1387071;165488;25030;1577589;0.03;0;0.03
2015-12-29 10:38:04.421272950+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;10000;17;1387071;165488;25030;1577589;0.02;0;0.03
2015-12-29 10:38:04.477464734+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;10000;18;1387071;165488;25030;1577589;0.03;0;0.03
2015-12-29 10:38:04.521971759+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;10000;19;1387071;165488;25030;1577589;0.03;0;0.03
2015-12-29 10:38:04.565672591+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;10000;20;1387071;165488;25030;1577589;0.03;0;0.03
2015-12-29 10:38:04.610261845+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;100000;1;1387071;1656016;249093;3292180;0.09;0;0.09
2015-12-29 10:38:04.711338226+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;100000;2;1387071;1656016;249093;3292180;0.09;0;0.09
2015-12-29 10:38:04.813746595+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;100000;3;1387071;1656016;249093;3292180;0.09;0;0.09
2015-12-29 10:38:04.914615124+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;100000;4;1387071;1656016;249093;3292180;0.08;0;0.09
2015-12-29 10:38:05.014367940+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;100000;5;1387071;1656460;250758;3294289;0.09;0;0.09
2015-12-29 10:38:05.115309267+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;100000;6;1387071;1656460;250758;3294289;0.09;0;0.09
2015-12-29 10:38:05.217380111+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;100000;7;1387071;1656460;250758;3294289;0.09;0;0.09
2015-12-29 10:38:05.317948618+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;100000;8;1387071;1656460;250758;3294289;0.09;0;0.09
2015-12-29 10:38:05.419456783+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;100000;9;1387071;1656460;250758;3294289;0.08;0;0.09
2015-12-29 10:38:05.518953713+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;100000;10;1387071;1656460;250758;3294289;0.08;0;0.09
2015-12-29 10:38:05.618772067+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;100000;11;1387071;1656460;250758;3294289;0.09;0;0.09
2015-12-29 10:38:05.719223170+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;100000;12;1387071;1656460;250758;3294289;0.08;0;0.09
2015-12-29 10:38:05.819517066+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;100000;13;1387071;1656460;250758;3294289;0.09;0;0.09
2015-12-29 10:38:05.921109175+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;100000;14;1387071;1656460;250758;3294289;0.08;0;0.09
2015-12-29 10:38:06.020937074+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;100000;15;1387071;404753;60784;1852608;0.04;0;0.04
2015-12-29 10:38:06.073876371+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;100000;16;1387071;404753;60784;1852608;0.04;0;0.04
2015-12-29 10:38:06.126500864+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;100000;17;1387071;404753;60784;1852608;0.04;0;0.04
2015-12-29 10:38:06.180229654+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;100000;18;1387071;404753;60784;1852608;0.04;0;0.04
2015-12-29 10:38:06.232871547+01:00 ; ./dataset/book1_assommoir.txt ;91033;3;100000;19;1387071;404753;60784;1852608;0.04;0;0.04
