"k";"m";"n";"count1";"count2";"count3";"time"
2;100000000;26046;508862;439917;172537;47
2;100000000;26046;147930;439917;48092;28
3;10000;26046;147480;447996;21011;28
3;10000;26046;147397;447996;21007;27
3;10000;26046;147381;447996;21030;29
3;10000;26046;147421;447996;21216;29
3;10000;26046;147357;447996;21097;28
3;10000;26046;147474;447996;21038;27
3;10000;26046;147484;447996;21148;28
3;10000;26046;147469;447996;21100;42
3;10000;26046;103302;447996;14842;25
3;10000;26046;16296;447996;2345;21
3;100000;26046;148683;447996;21296;30
3;100000;26046;160102;447996;22978;29
3;100000;26046;982781;447996;140394;71
3;100000;26046;63562;447996;9129;23
3;100000;26046;201478;447996;28761;31
3;100000;26046;883665;447996;126194;65
3;100000;26046;151561;447996;21614;28
3;100000;26046;186744;447996;26628;31
3;100000;26046;131002;447996;18791;27
3;100000;26046;44580;447996;6477;23
3;1000000;26046;466738;447996;66559;47
3;1000000;26046;3793;447996;545;21
3;1000000;26046;260965;447996;37237;34
3;1000000;26046;13925;447996;2037;21
3;1000000;26046;10704;447996;1556;21
3;1000000;26046;222397;447996;31751;31
3;1000000;26046;142427;447996;20367;28
3;1000000;26046;452447;447996;64641;43
3;1000000;26046;79838;447996;11463;24
3;1000000;26046;556726;447996;79673;50
3;10000000;26046;159843;447996;22932;28
3;10000000;26046;173693;447996;24803;29
3;10000000;26046;94493;447996;13499;26
3;10000000;26046;647049;447996;92358;60
3;10000000;26046;319197;447996;45501;37
3;10000000;26046;204889;447996;29401;31
3;10000000;26046;267026;447996;38125;33
3;10000000;26046;1060577;447996;151780;75
3;10000000;26046;550127;447996;78706;49
3;10000000;26046;492000;447996;70449;47
3;100000000;26046;33591;447996;4844;22
3;100000000;26046;92377;447996;13253;27
3;100000000;26046;801144;447996;114761;66
3;100000000;26046;43097;447996;6127;22
3;100000000;26046;141416;447996;20176;27
3;100000000;26046;135439;447996;19288;27
3;100000000;26046;36401;447996;5176;23
3;100000000;26046;1444752;447996;206183;94
3;100000000;26046;342239;447996;49046;39
3;100000000;26046;190281;447996;27083;31
4;10000;26046;147402;443487;20136;28
4;10000;26046;147483;443487;20132;28
4;10000;26046;140769;443487;19267;28
4;10000;26046;89231;443487;12209;26
4;10000;26046;84290;443487;11558;26
4;10000;26046;90069;443487;12312;26
4;10000;26046;147359;443487;20172;28
4;10000;26046;147359;443487;20140;28
4;10000;26046;147470;443487;20162;28
4;10000;26046;147412;443487;20117;29
4;100000;26046;209571;443487;28629;33
4;100000;26046;265903;443487;36351;34
4;100000;26046;111554;443487;15276;26
4;100000;26046;564128;443487;77170;51
4;100000;26046;18102;443487;2473;22
4;100000;26046;79007;443487;10784;28
4;100000;26046;256872;443487;35134;37
4;100000;26046;397972;443487;54491;44
4;100000;26046;672112;443487;91982;60
4;100000;26046;350945;443487;48016;42
4;1000000;26046;199676;443487;27281;33
4;1000000;26046;109599;443487;14975;27
4;1000000;26046;254256;443487;34777;36
4;1000000;26046;376073;443487;51447;44
4;1000000;26046;99509;443487;13597;27
4;1000000;26046;579008;443487;79226;58
4;1000000;26046;220792;443487;30176;34
4;1000000;26046;241102;443487;32984;35
4;1000000;26046;19555;443487;2673;22
4;1000000;26046;107277;443487;14634;27
4;10000000;26046;75635;443487;10341;25
4;10000000;26046;61099;443487;8369;24
4;10000000;26046;718440;443487;98311;62
4;10000000;26046;77802;443487;10649;25
4;10000000;26046;784769;443487;107292;65
4;10000000;26046;470898;443487;64430;49
4;10000000;26046;440996;443487;60318;50
4;10000000;26046;217218;443487;29754;34
4;10000000;26046;48917;443487;6688;23
4;10000000;26046;72993;443487;9968;25
4;100000000;26046;44240;443487;6037;24
4;100000000;26046;29822;443487;4074;23
4;100000000;26046;420243;443487;57474;45
4;100000000;26046;528417;443487;72193;51
4;100000000;26046;289883;443487;39616;37
4;100000000;26046;427595;443487;58490;45
4;100000000;26046;560689;443487;76719;55
4;100000000;26046;243459;443487;33229;35
4;100000000;26046;1835683;443487;251019;130
4;100000000;26046;301535;443487;41235;39
5;10000;26046;147410;443849;20046;30
5;10000;26046;62758;443849;8536;25
5;10000;26046;147402;443849;20042;29
5;10000;26046;73491;443849;9984;26
5;10000;26046;147401;443849;20033;30
5;10000;26046;147407;443849;20032;31
5;10000;26046;147361;443849;20043;31
5;10000;26046;147487;443849;20033;29
5;10000;26046;147429;443849;20036;30
5;10000;26046;147463;443849;20024;30
5;100000;26046;578461;443849;78655;58
5;100000;26046;39583;443849;5379;23
5;100000;26046;42154;443849;5728;22
5;100000;26046;970326;443849;131924;82
5;100000;26046;84269;443849;11444;26
5;100000;26046;462553;443849;62868;49
5;100000;26046;44725;443849;6077;23
5;100000;26046;149224;443849;20291;30
5;100000;26046;511900;443849;69623;53
5;100000;26046;177494;443849;24121;32
5;1000000;26046;846028;443849;115035;74
5;1000000;26046;169895;443849;23082;31
5;1000000;26046;460452;443849;62589;49
5;1000000;26046;109025;443849;14817;27
5;1000000;26046;230086;443849;31307;35
5;1000000;26046;369952;443849;50293;43
5;1000000;26046;141140;443849;19175;30
5;1000000;26046;189520;443849;25759;33
5;1000000;26046;465281;443849;63274;49
5;1000000;26046;1513720;443849;205805;114
5;10000000;26046;1344219;443849;182739;106
5;10000000;26046;224710;443849;30547;35
5;10000000;26046;644956;443849;87666;59
5;10000000;26046;577646;443849;78519;59
5;10000000;26046;2086770;443849;283720;150
5;10000000;26046;796964;443849;108342;71
5;10000000;26046;411871;443849;56015;45
5;10000000;26046;1467997;443849;199573;113
5;10000000;26046;146452;443849;19899;30
5;10000000;26046;1375903;443849;187077;109
5;100000000;26046;577425;443849;78483;56
5;100000000;26046;386820;443849;52614;45
5;100000000;26046;128670;443849;17489;28
5;100000000;26046;420917;443849;57246;47
5;100000000;26046;457478;443849;62177;50
5;100000000;26046;1787566;443849;242915;137
5;100000000;26046;187892;443849;25540;32
5;100000000;26046;824049;443849;111994;71
5;100000000;26046;240997;443849;32774;36
5;100000000;26046;892289;443849;121352;75
6;10000;26046;147464;443849;20010;31
6;10000;26046;84253;443849;11432;25
6;10000;26046;91031;443849;12353;25
6;10000;26046;84253;443849;11432;26
6;10000;26046;147466;443849;20010;31
6;10000;26046;147452;443849;20024;30
6;10000;26046;84253;443849;11432;25
6;10000;26046;147465;443849;20017;30
6;10000;26046;147466;443849;20010;30
6;10000;26046;104587;443849;14195;27
6;100000;26046;84253;443849;11432;26
6;100000;26046;438556;443849;59544;51
6;100000;26046;242476;443849;32912;37
6;100000;26046;84253;443849;11432;26
6;100000;26046;1013882;443849;137670;89
6;100000;26046;435643;443849;59166;55
6;100000;26046;283371;443849;38468;39
6;100000;26046;1474212;443849;200144;120
6;100000;26046;84253;443849;11432;26
6;100000;26046;84253;443849;11432;27
6;1000000;26046;84253;443849;11432;26
6;1000000;26046;931305;443849;126524;83
6;1000000;26046;526835;443849;71555;61
6;1000000;26046;591114;443849;80254;60
6;1000000;26046;959345;443849;130288;86
6;1000000;26046;372826;443849;50616;46
6;1000000;26046;1052489;443849;142908;90
6;1000000;26046;97809;443849;13274;28
6;1000000;26046;792530;443849;107619;76
6;1000000;26046;91031;443849;12353;27
6;10000000;26046;258859;443849;35137;38
6;10000000;26046;1276554;443849;173354;106
6;10000000;26046;2610605;443849;354555;198
6;10000000;26046;1225142;443849;166330;105
6;10000000;26046;84253;443849;11432;26
6;10000000;26046;91031;443849;12353;27
6;10000000;26046;104587;443849;14195;28
6;10000000;26046;614245;443849;83386;62
6;10000000;26046;532491;443849;72295;56
6;10000000;26046;466778;443849;63376;51
6;100000000;26046;104587;443849;14195;27
6;100000000;26046;91031;443849;12353;27
6;100000000;26046;364332;443849;49460;45
6;100000000;26046;97809;443849;13274;29
6;100000000;26046;104587;443849;14195;28
6;100000000;26046;91031;443849;12353;27
6;100000000;26046;84253;443849;11432;26
6;100000000;26046;91031;443849;12353;27
6;100000000;26046;84253;443849;11432;26
6;100000000;26046;290178;443849;39384;40
7;10000;26046;147464;443849;20006;30
7;10000;26046;147468;443849;20018;30
7;10000;26046;147460;443849;20008;31
7;10000;26046;147460;443849;20008;31
7;10000;26046;91016;443849;12348;26
7;10000;26046;147460;443849;20008;31
7;10000;26046;91016;443849;12348;27
7;10000;26046;91016;443849;12348;26
7;10000;26046;91016;443849;12348;27
7;10000;26046;91016;443849;12348;27
7;100000;26046;91016;443849;12348;26
7;100000;26046;1333340;443849;180995;117
7;100000;26046;651149;443849;88375;68
7;100000;26046;91016;443849;12348;27
7;100000;26046;979031;443849;132909;94
7;100000;26046;977705;443849;132701;89
7;100000;26046;91016;443849;12348;26
7;100000;26046;371773;443849;50459;47
7;100000;26046;91016;443849;12348;27
7;100000;26046;91016;443849;12348;27
7;1000000;26046;411378;443849;55846;50
7;1000000;26046;679082;443849;92171;69
7;1000000;26046;699923;443849;95009;73
7;1000000;26046;918743;443849;124713;85
7;1000000;26046;91016;443849;12348;28
7;1000000;26046;91016;443849;12348;27
7;1000000;26046;91016;443849;12348;27
